User,Tweets Ago,Date,Text,Compound,Positive,Negative,Neutral
BBCBreaking,70,Sat Sep 08 21:47:17 +0000 2018,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy,0.8402,0.34,0.083,0.577
BBCBreaking,69,Sun Sep 09 17:03:42 +0000 2018,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW",-0.8555,0.0,0.42,0.58
BBCBreaking,68,Sun Sep 09 18:09:57 +0000 2018,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb",0.6249,0.282,0.0,0.718
BBCBreaking,67,Mon Sep 10 11:45:36 +0000 2018,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…",-0.3707,0.0,0.096,0.904
BBCBreaking,66,Mon Sep 10 14:09:41 +0000 2018,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE,0.0,0.0,0.0,1.0
BBCBreaking,65,Tue Sep 11 08:35:00 +0000 2018,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM",-0.4404,0.0,0.172,0.828
BBCBreaking,64,Tue Sep 11 09:21:43 +0000 2018,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…",0.5267,0.129,0.0,0.871
BBCBreaking,63,Tue Sep 11 16:30:50 +0000 2018,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…",0.658,0.154,0.0,0.846
BBCBreaking,62,Wed Sep 12 07:06:33 +0000 2018,"""Nothing criminal"" about men named by UK over poisoning of ex-Russian spy Sergei Skripal and daughter, Putin says https://t.co/UjoGhhCn3G",-0.2556,0.118,0.161,0.721
BBCBreaking,61,Wed Sep 12 15:02:35 +0000 2018,"British couple who died at Egyptian hotel were killed by E. coli, the country's general prosecutor says https://t.co/PqSvcJ75N8",-0.8442,0.0,0.336,0.664
BBCBreaking,60,Thu Sep 13 10:13:52 +0000 2018,Two men named as suspects in poisoning of Russian ex-spy claim they were merely tourists to Salisbury Cathedral https://t.co/PFXBDyJrkf,-0.7351,0.0,0.267,0.733
BBCBreaking,59,Thu Sep 13 10:26:24 +0000 2018,Suspects in poisoning of ex-Russian spy Sergei Skripal tell state-sponsored TV network RT they visited Salisbury as… https://t.co/wJsPNLoMCp,-0.7351,0.0,0.279,0.721
BBCBreaking,58,Fri Sep 14 10:05:23 +0000 2018,"#HurricaneFlorence makes landfall on east coast of US

Follow our live updates https://t.co/DEangW2yzK https://t.co/yy1qY9b4ui",0.0,0.0,0.0,1.0
BBCBreaking,57,Fri Sep 14 11:48:34 +0000 2018,"#HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Eva… https://t.co/hxwsLoRxka",0.0,0.0,0.0,1.0
BBCBreaking,56,Fri Sep 14 15:41:17 +0000 2018,"Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8VmfnfWtx",0.2023,0.114,0.0,0.886
BBCBreaking,55,Fri Sep 14 18:28:18 +0000 2018,"Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWNV1",-0.6887,0.066,0.325,0.608
BBCBreaking,54,Fri Sep 14 21:00:56 +0000 2018,"Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 hom… https://t.co/EWslcjopvp",-0.6705,0.0,0.209,0.791
BBCBreaking,53,Sat Sep 15 01:32:56 +0000 2018,"At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almo… https://t.co/dAXPvHdCAW",-0.6486,0.0,0.17,0.83
BBCBreaking,52,Sun Sep 16 09:31:11 +0000 2018,"RT @BBCSport: Kenya's Eliud Kipchoge has set a new marathon world record in Berlin.

https://t.co/D9EEUxebgM https://t.co/mb8oigT6FB",0.0,0.0,0.0,1.0
BBCBreaking,51,Sun Sep 16 19:24:39 +0000 2018,Correction: Christine Blasey Ford reveals she was teenager allegedly assaulted by Supreme Court nominee Kavanaugh https://t.co/NMZLm0Ro4C,0.0516,0.171,0.162,0.667
BBCBreaking,50,Sun Sep 16 19:30:19 +0000 2018,"Police have sealed off the Prezzo restaurant in High Street, Salisbury, following a 'medical incident' involving a man and a woman",0.0,0.0,0.0,1.0
BBCBreaking,49,Mon Sep 17 09:18:01 +0000 2018,"International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE3584i",0.1027,0.111,0.086,0.802
BBCBreaking,48,Mon Sep 17 14:42:34 +0000 2018,"US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comme… https://t.co/MPyA5T4jiH",-0.0516,0.148,0.156,0.697
BBCBreaking,47,Mon Sep 17 16:42:17 +0000 2018,Russia and Turkey to create buffer zone in Syria's northern Idlib province to separate Syrian forces and rebels https://t.co/1xjM2afBPr,0.0772,0.1,0.086,0.813
BBCBreaking,46,Mon Sep 17 18:11:18 +0000 2018,Thai cave rescuer Vernon Unsworth sues Elon Musk over his repeated claims the British diver is child abuser https://t.co/wJeixByjo9,-0.5574,0.0,0.167,0.833
BBCBreaking,45,Mon Sep 17 22:41:12 +0000 2018,The US is imposing new tariffs on $200bn (£150bn) worth of Chinese goods as it escalates its trade war with Beijing https://t.co/CjuxgjX23d,-0.5267,0.073,0.202,0.725
BBCBreaking,44,Tue Sep 18 13:13:51 +0000 2018,"RT @BBCSport: Ben Stokes and Alex Hales have been charged with bringing the game into disrepute by the ECB.

https://t.co/1mH5geVa1O https:…",-0.2023,0.0,0.083,0.917
BBCBreaking,43,Tue Sep 18 16:12:26 +0000 2018,Germany's spy chief forced out of job over his controversial response to reports of far-right unrest in Chemnitz https://t.co/NUAvqHojSE,-0.5859,0.0,0.22,0.78
BBCBreaking,42,Wed Sep 19 02:59:21 +0000 2018,"Moon and Kim hail new future for North and South Korea, signing wide-ranging agreement in Pyongyang https://t.co/QNzHH5gdDP",0.5423,0.231,0.0,0.769
BBCBreaking,41,Wed Sep 19 08:33:35 +0000 2018,"UK inflation rate for August unexpectedly rises to 2.7%, highest in six months https://t.co/GmqT0MuLhi",0.0,0.0,0.0,1.0
BBCBreaking,40,Wed Sep 19 09:36:38 +0000 2018,"Woman dies after caravan blown off cliff in Galway, Ireland as Storm Ali brings disruption to British Isles https://t.co/wubY4511gO",-0.3612,0.0,0.122,0.878
BBCBreaking,39,Wed Sep 19 10:21:14 +0000 2018,Pakistan court orders release of ex-PM Nawaz Sharif and suspends his jail sentence https://t.co/3LqxVQ6F51,0.0772,0.091,0.0,0.909
BBCBreaking,38,Thu Sep 20 12:59:39 +0000 2018,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…",0.0,0.0,0.0,1.0
BBCBreaking,37,Thu Sep 20 13:36:45 +0000 2018,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ",0.3612,0.122,0.0,0.878
BBCBreaking,36,Thu Sep 20 14:13:40 +0000 2018,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY",-0.4404,0.0,0.127,0.873
BBCBreaking,35,Thu Sep 20 16:10:35 +0000 2018,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja,0.0,0.0,0.0,1.0
BBCBreaking,34,Fri Sep 21 07:52:13 +0000 2018,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin",-0.3818,0.0,0.148,0.852
BBCBreaking,33,Fri Sep 21 12:02:41 +0000 2018,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ",0.0,0.0,0.0,1.0
BBCBreaking,32,Fri Sep 21 13:14:06 +0000 2018,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0",-0.5106,0.0,0.142,0.858
BBCBreaking,31,Fri Sep 21 13:17:13 +0000 2018,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN",0.6542,0.211,0.0,0.789
BBCBreaking,30,Sat Sep 22 06:19:09 +0000 2018,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp",-0.875,0.0,0.385,0.615
BBCBreaking,29,Sat Sep 22 11:10:39 +0000 2018,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58",0.128,0.112,0.092,0.797
BBCBreaking,28,Sat Sep 22 12:20:02 +0000 2018,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,-0.5574,0.0,0.217,0.783
BBCBreaking,27,Sat Sep 22 18:23:52 +0000 2018,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL,0.25,0.191,0.139,0.67
BBCBreaking,26,Sat Sep 22 18:48:42 +0000 2018,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN,-0.0258,0.208,0.212,0.579
BBCBreaking,25,Sat Sep 22 20:09:28 +0000 2018,"Labour should be prepared to back demands for a new Brexit referendum, deputy leader Tom Watson has said. https://t.co/x9EOYEtffe",0.2263,0.101,0.0,0.899
BBCBreaking,24,Sat Sep 22 21:46:29 +0000 2018,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…",0.8395,0.285,0.0,0.715
BBCBreaking,23,Mon Sep 24 15:11:09 +0000 2018,"Rod Rosenstein, the man overseeing Trump-Russia probe, en route to White House amid reports he will offer to quit https://t.co/3kxi0m3UId",0.0,0.0,0.0,1.0
BBCBreaking,22,Mon Sep 24 17:24:24 +0000 2018,"Amid concerns about his job, Trump-Russia probe chief Rod Rosenstein has ""extended conversation"" with President Tru… https://t.co/IAXR7JSl1Y",0.0,0.0,0.0,1.0
BBCBreaking,21,Tue Sep 25 14:50:14 +0000 2018,"""Stronger, safer, richer"": Donald Trump tells UN he has done more in under two years than almost any prior president https://t.co/coDul33Afk",0.4215,0.123,0.0,0.877
BBCBreaking,20,Tue Sep 25 18:13:58 +0000 2018,"""Sexually violent predator"" Bill Cosby given three to 10-year jail term for drugging and molesting a woman in 2004 https://t.co/vNPK6YmTfA",-0.8271,0.0,0.312,0.688
BBCBreaking,19,Wed Sep 26 13:08:57 +0000 2018,"Suspects in the 1974 Birmingham pub bombings will not be named at fresh inquests, the appeal court rules https://t.co/RqzM3HkGfz",-0.0258,0.106,0.111,0.783
BBCBreaking,18,Wed Sep 26 14:55:12 +0000 2018,"China has been attempting to interfere in the mid-term elections in November, President Trump tells UN https://t.co/FkYVJlPMaW",0.0,0.0,0.0,1.0
BBCBreaking,17,Wed Sep 26 16:32:23 +0000 2018,The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.co/5ySt719D3g,-0.7351,0.0,0.279,0.721
BBCBreaking,16,Thu Sep 27 14:40:05 +0000 2018,"""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell… https://t.co/1mIY5lYWdC",-0.6395,0.0,0.199,0.801
BBCBreaking,15,Thu Sep 27 15:14:06 +0000 2018,"RT @BBCSport: The proposed £600m sale of Wembley Stadium has been unanimously backed by the Football Association's board.

https://t.co/6sX…",0.0258,0.058,0.0,0.942
BBCBreaking,14,Thu Sep 27 19:18:04 +0000 2018,"""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reac… https://t.co/bH7othXr2Q",0.0352,0.15,0.144,0.706
